iter	Passed	Remaining
149	2526	14315
150	2540	14284
151	2556	14262
152	2571	14233
153	2585	14202
154	2599	14171
155	2614	14143
156	2627	14110
157	2642	14081
158	2656	14049
159	2670	14019
160	2684	13988
161	2698	13960
162	2712	13928
163	2726	13896
164	2740	13867
165	2754	13838
166	2769	13813
167	2783	13787
168	2798	13760
169	2812	13733
170	2827	13705
171	2842	13684
172	2859	13668
173	2876	13653
174	2892	13638
175	2909	13622
176	2926	13609
177	2943	13591
178	2968	13614
179	2984	13595
180	2999	13570
181	3016	13556
182	3031	13534
183	3046	13512
184	3061	13485
185	3092	13533
186	3108	13512
187	3122	13487
188	3137	13461
189	3151	13437
190	3168	13419
191	3184	13401
192	3199	13377
193	3214	13354
194	3231	13340
195	3246	13317
196	3262	13298
197	3277	13276
198	3292	13253
199	3306	13227
200	3322	13205
201	3337	13186
202	3354	13171
203	3370	13150
204	3388	13140
205	3404	13121
206	3420	13102
207	3436	13083
208	3451	13062
209	3467	13044
210	3485	13034
211	3502	13019
212	3519	13003
213	3535	12986
214	3554	12978
215	3571	12964
216	3588	12949
217	3605	12933
218	3623	12920
219	3639	12902
220	3656	12890
221	3672	12871
222	3687	12848
223	3703	12829
224	3718	12809
225	3732	12781
226	3746	12757
227	3761	12735
228	3774	12709
229	3789	12686
230	3804	12665
231	3818	12639
232	3832	12616
233	3847	12594
234	3861	12570
235	3875	12547
236	3890	12526
237	3904	12501
238	3918	12477
239	3932	12453
240	3947	12431
241	3960	12405
242	3975	12383
243	3990	12364
244	4005	12343
245	4019	12320
246	4033	12297
247	4047	12272
248	4061	12248
249	4076	12228
250	4089	12204
251	4103	12181
252	4118	12160
253	4132	12136
254	4147	12118
255	4163	12099
256	4176	12075
257	4191	12053
258	4204	12028
259	4219	12008
260	4233	11986
261	4247	11965
262	4261	11942
263	4274	11917
264	4289	11896
265	4303	11874
266	4317	11852
267	4332	11832
268	4347	11813
269	4361	11791
270	4376	11772
271	4390	11751
272	4404	11729
273	4418	11706
274	4431	11683
275	4445	11662
276	4461	11644
277	4474	11621
278	4489	11602
279	4504	11582
280	4517	11559
281	4531	11538
282	4545	11516
283	4562	11502
284	4577	11483
285	4591	11462
286	4605	11442
287	4621	11425
288	4635	11404
289	4651	11388
290	4667	11371
291	4680	11349
292	4694	11327
293	4708	11306
294	4722	11286
295	4736	11264
296	4751	11246
297	4766	11227
298	4781	11209
299	4796	11191
300	4810	11170
301	4824	11151
302	4839	11132
303	4853	11111
304	4867	11092
305	4882	11072
306	4896	11053
307	4910	11032
308	4924	11013
309	4939	10993
310	4953	10974
311	4968	10955
312	4982	10935
313	4996	10916
314	5010	10896
315	5024	10876
316	5038	10856
317	5052	10835
318	5066	10816
319	5080	10796
320	5094	10777
321	5109	10758
322	5123	10738
323	5138	10721
324	5152	10701
325	5166	10681
326	5180	10662
327	5195	10644
328	5209	10625
329	5224	10607
330	5240	10590
331	5255	10574
332	5270	10557
333	5284	10537
334	5299	10519
335	5315	10504
336	5331	10489
337	5346	10471
338	5361	10453
339	5376	10437
340	5391	10419
341	5406	10402
342	5422	10386
343	5437	10369
344	5452	10352
345	5469	10339
346	5487	10325
347	5502	10310
348	5517	10292
349	5532	10274
350	5548	10259
351	5565	10244
352	5581	10230
353	5599	10217
354	5615	10203
355	5631	10186
356	5649	10175
357	5665	10160
358	5690	10160
359	5706	10145
360	5723	10131
361	5739	10115
362	5756	10102
363	5775	10090
364	5790	10074
365	5805	10057
366	5822	10042
367	5839	10028
368	5859	10019
369	5875	10003
370	5890	9986
371	5904	9968
372	5918	9949
373	5933	9930
374	5947	9913
375	5964	9898
376	5979	9881
377	5994	9864
378	6011	9850
379	6027	9833
380	6042	9817
381	6058	9800
382	6073	9784
383	6088	9766
384	6102	9748
385	6118	9732
386	6133	9714
387	6147	9696
388	6161	9677
389	6176	9660
390	6191	9643
391	6205	9625
392	6219	9605
393	6235	9590
394	6249	9572
395	6265	9557
396	6279	9538
397	6293	9519
398	6308	9501
399	6321	9482
400	6335	9464
401	6349	9445
402	6364	9427
403	6377	9409
404	6392	9391
405	6406	9373
406	6421	9355
407	6435	9337
408	6450	9320
409	6467	9306
410	6484	9293
411	6502	9280
412	6519	9265
413	6535	9251
414	6550	9234
415	6565	9216
416	6580	9199
417	6598	9186
418	6613	9170
419	6629	9155
420	6645	9139
421	6661	9124
422	6678	9109
423	6693	9093
424	6710	9078
425	6725	9062
426	6741	9046
427	6757	9030
428	6774	9016
429	6793	9005
430	6815	8997
431	6834	8986
432	6852	8972
433	6868	8957
434	6885	8943
435	6902	8928
436	6918	8913
437	6934	8897
438	6950	8882
439	6970	8871
440	6987	8857
441	7004	8842
442	7022	8829
443	7039	8814
444	7055	8800
445	7072	8785
446	7089	8770
447	7105	8755
448	7123	8741
449	7140	8727
450	7158	8713
451	7175	8699
452	7195	8688
453	7213	8675
454	7232	8663
455	7251	8650
456	7268	8636
457	7286	8623
458	7304	8608
459	7322	8595
460	7340	8582
461	7358	8568
462	7377	8556
463	7396	8544
464	7416	8532
465	7433	8518
466	7452	8505
467	7470	8492
468	7490	8481
469	7511	8470
470	7531	8458
471	7547	8443
472	7564	8428
473	7583	8415
474	7604	8405
475	7624	8393
476	7641	8378
477	7658	8363
478	7677	8350
479	7696	8338
480	7715	8324
481	7733	8310
482	7751	8296
483	7770	8283
484	7790	8272
485	7808	8258
486	7826	8244
487	7845	8231
488	7868	8222
489	7886	8208
490	7902	8192
491	7919	8177
492	7937	8162
493	7956	8149
494	7974	8135
495	7993	8121
496	8012	8109
497	8029	8094
498	8048	8080
499	8066	8066
500	8085	8053
501	8105	8041
502	8124	8027
503	8143	8014
504	8162	8000
505	8181	7987
506	8199	7972
507	8216	7957
508	8235	7943
509	8253	7929
510	8269	7913
511	8286	7898
512	8302	7881
513	8316	7863
514	8332	7846
515	8347	7829
516	8363	7813
517	8379	7797
518	8395	7781
519	8411	7764
520	8427	7748
521	8442	7730
522	8458	7714
523	8474	7697
524	8489	7681
525	8507	7666
526	8525	7652
527	8544	7638
528	8561	7622
529	8579	7607
530	8599	7595
531	8617	7580
532	8636	7566
533	8654	7552
534	8672	7537
535	8691	7524
536	8708	7508
537	8726	7493
538	8744	7479
539	8762	7464
540	8780	7449
541	8797	7434
542	8818	7421
543	8836	7406
544	8855	7392
545	8872	7377
546	8890	7362
547	8908	7347
548	8927	7333
549	8945	7318
550	8964	7304
551	8983	7291
552	9002	7276
553	9020	7261
554	9039	7247
555	9067	7241
556	9086	7226
557	9107	7213
558	9128	7201
559	9148	7187
560	9170	7176
561	9192	7164
562	9213	7151
563	9234	7138
564	9254	7124
565	9272	7109
566	9289	7094
567	9309	7080
568	9327	7065
569	9359	7060
570	9377	7045
571	9393	7028
572	9408	7011
573	9429	6998
574	9458	6991
575	9481	6979
576	9504	6967
577	9528	6956
578	9550	6944
579	9573	6932
580	9591	6917
581	9607	6900
582	9634	6890
583	9649	6873
584	9664	6855
585	9679	6838
586	9694	6820
587	9710	6804
588	9726	6787
589	9743	6770
590	9762	6755
591	9779	6740
592	9798	6725
593	9816	6709
594	9835	6694
595	9852	6678
596	9872	6664
597	9892	6650
598	9910	6634
599	9928	6618
600	9948	6604
601	9967	6589
602	9985	6574
603	10004	6559
604	10021	6543
605	10039	6527
606	10055	6510
607	10072	6494
608	10091	6478
609	10108	6462
610	10125	6446
611	10142	6430
612	10160	6414
613	10177	6398
614	10192	6380
615	10209	6364
616	10225	6347
617	10240	6329
618	10256	6312
619	10271	6295
620	10287	6278
621	10302	6261
622	10319	6244
623	10335	6227
624	10351	6211
625	10369	6195
626	10387	6179
627	10404	6163
628	10419	6145
629	10436	6129
630	10451	6112
631	10467	6095
632	10484	6078
633	10501	6062
634	10516	6045
635	10533	6028
636	10549	6011
637	10566	5995
638	10583	5979
639	10600	5962
640	10617	5946
641	10634	5930
642	10651	5913
643	10666	5896
644	10681	5879
645	10696	5861
646	10711	5844
647	10725	5826
648	10740	5808
649	10754	5791
650	10770	5774
651	10784	5756
652	10798	5738
653	10813	5721
654	10828	5703
655	10844	5686
656	10860	5669
657	10875	5652
658	10891	5635
659	10907	5619
660	10925	5603
661	10944	5587
662	10983	5582
663	10999	5565
664	11015	5549
665	11030	5531
666	11044	5514
667	11059	5496
668	11073	5478
669	11088	5461
670	11103	5444
671	11117	5426
672	11132	5408
673	11146	5391
674	11161	5373
675	11175	5356
676	11191	5339
677	11207	5322
678	11222	5305
679	11236	5287
680	11251	5270
681	11264	5252
682	11279	5235
683	11293	5217
684	11309	5200
685	11325	5183
686	11339	5166
687	11354	5148
688	11368	5131
689	11383	5114
690	11398	5097
691	11413	5080
692	11431	5064
693	11446	5046
694	11461	5029
695	11476	5012
696	11490	4995
697	11505	4978
698	11519	4960
699	11533	4943
700	11549	4926
701	11565	4909
702	11581	4892
703	11596	4875
704	11610	4858
705	11625	4841
706	11640	4824
707	11655	4807
708	11669	4789
709	11685	4772
710	11700	4755
711	11715	4738
712	11728	4721
713	11743	4703
714	11758	4686
715	11772	4669
716	11786	4652
717	11801	4635
718	11816	4618
719	11831	4601
720	11846	4584
721	11860	4566
722	11874	4549
723	11889	4532
724	11905	4515
725	11920	4499
726	11935	4481
727	11950	4464
728	11964	4447
729	11979	4430
730	11993	4413
731	12009	4396
732	12024	4380
733	12038	4362
734	12053	4345
735	12067	4328
736	12083	4311
737	12097	4294
738	12112	4277
739	12126	4260
740	12141	4243
741	12156	4226
742	12170	4209
743	12185	4192
744	12198	4175
745	12213	4158
746	12227	4141
747	12242	4124
748	12256	4107
749	12270	4090
750	12284	4072
751	12298	4056
752	12313	4039
753	12328	4022
754	12345	4006
755	12359	3989
756	12374	3972
757	12389	3955
758	12403	3938
759	12418	3921
760	12434	3905
761	12450	3888
762	12466	3872
763	12480	3855
764	12495	3838
765	12509	3821
766	12523	3804
767	12538	3787
768	12552	3770
769	12567	3753
770	12582	3737
771	12596	3720
772	12611	3703
773	12625	3686
774	12640	3669
775	12655	3653
776	12671	3636
777	12686	3620
778	12701	3603
779	12715	3586
780	12730	3569
781	12745	3552
782	12759	3536
783	12775	3519
784	12790	3503
785	12804	3486
786	12819	3469
787	12835	3453
788	12852	3437
789	12870	3421
790	12884	3404
791	12898	3387
792	12913	3370
793	12927	3353
794	12942	3337
795	12957	3320
796	12971	3303
797	12986	3287
798	13000	3270
799	13016	3254
800	13031	3237
801	13045	3220
802	13060	3204
803	13074	3187
804	13089	3170
805	13103	3154
806	13119	3137
807	13133	3120
808	13148	3104
809	13163	3087
810	13177	3070
811	13192	3054
812	13207	3037
813	13222	3021
814	13236	3004
815	13251	2988
816	13265	2971
817	13280	2954
818	13294	2938
819	13308	2921
820	13323	2904
821	13338	2888
822	13353	2872
823	13368	2855
824	13383	2838
825	13398	2822
826	13412	2805
827	13427	2789
828	13441	2772
829	13456	2756
830	13471	2739
831	13485	2723
832	13499	2706
833	13513	2689
834	13528	2673
835	13543	2656
836	13558	2640
837	13574	2624
838	13590	2607
839	13606	2591
840	13621	2575
841	13636	2558
842	13652	2542
843	13667	2526
844	13682	2509
845	13697	2493
846	13711	2476
847	13725	2460
848	13740	2443
849	13756	2427
850	13770	2411
851	13786	2394
852	13801	2378
853	13815	2361
854	13830	2345
855	13844	2328
856	13859	2312
857	13873	2296
858	13888	2279
859	13903	2263
860	13918	2246
861	13932	2230
862	13947	2214
863	13961	2197
864	13976	2181
865	13991	2164
866	14005	2148
867	14021	2132
868	14036	2115
869	14052	2099
870	14069	2083
871	14083	2067
872	14099	2051
873	14114	2034
874	14129	2018
875	14144	2002
876	14159	1985
877	14176	1969
878	14190	1953
879	14206	1937
880	14223	1921
881	14240	1905
882	14254	1888
883	14271	1872
884	14286	1856
885	14301	1840
886	14316	1823
887	14332	1807
888	14349	1791
889	14365	1775
890	14380	1759
891	14395	1742
892	14414	1727
893	14430	1711
894	14446	1694
895	14462	1678
896	14478	1662
897	14495	1646
898	14511	1630
899	14527	1614
900	14545	1598
901	14560	1581
902	14577	1565
903	14592	1549
904	14608	1533
905	14626	1517
906	14643	1501
907	14661	1485
908	14677	1469
909	14692	1453
910	14708	1436
911	14723	1420
912	14739	1404
913	14755	1388
914	14771	1372
915	14787	1356
916	14803	1339
917	14817	1323
918	14832	1307
919	14847	1291
920	14862	1274
921	14875	1258
922	14891	1242
923	14905	1226
924	14920	1209
925	14934	1193
926	14948	1177
927	14962	1160
928	14977	1144
929	14992	1128
930	15006	1112
931	15020	1095
932	15035	1079
933	15049	1063
934	15062	1047
935	15076	1030
936	15091	1014
937	15105	998
938	15119	982
939	15133	965
940	15147	949
941	15162	933
942	15176	917
943	15190	901
944	15204	884
945	15219	868
946	15232	852
947	15247	836
948	15261	820
949	15275	803
950	15290	787
951	15304	771
952	15319	755
953	15334	739
954	15350	723
955	15363	707
956	15376	690
957	15390	674
958	15404	658
959	15419	642
960	15432	626
961	15447	610
962	15461	594
963	15476	577
964	15491	561
965	15506	545
966	15520	529
967	15536	513
968	15551	497
969	15565	481
970	15579	465
971	15594	449
972	15609	433
973	15624	417
974	15638	400
975	15653	384
976	15669	368
977	15683	352
978	15697	336
979	15712	320
980	15726	304
981	15741	288
982	15755	272
983	15769	256
984	15784	240
985	15798	224
986	15812	208
987	15826	192
988	15840	176
989	15854	160
990	15868	144
991	15882	128
992	15896	112
993	15911	96
994	15928	80
995	15943	64
996	15958	48
997	15972	32
998	15987	16
999	16001	0
