iter	Logloss
0	0.6882159139
1	0.6842590332
2	0.6804322591
3	0.6770212646
4	0.6738651449
5	0.6711516846
6	0.6683407064
7	0.6656017212
8	0.6632802979
9	0.661101119
10	0.6591897502
11	0.6571966471
12	0.655323995
13	0.6536484701
14	0.6520155924
15	0.6504091187
16	0.6488342855
17	0.6470776286
18	0.6456270426
19	0.6442666097
20	0.6431563883
21	0.642044515
22	0.6409248779
23	0.6394380615
24	0.6382118408
25	0.6370653361
26	0.6356586426
27	0.6345630208
28	0.6334253255
29	0.6323393188
30	0.6310995972
31	0.6299938436
32	0.629081425
33	0.62807052
34	0.627056722
35	0.6261961995
36	0.6254775269
37	0.6245780233
38	0.6236171183
39	0.622902478
40	0.6219597575
41	0.6210587362
42	0.6201864217
43	0.6194076782
44	0.6186717367
45	0.6177912435
46	0.6171204834
47	0.6163681763
48	0.615708667
49	0.6149978475
50	0.6141978556
51	0.6133696248
52	0.6126399007
53	0.6118463908
54	0.6111655965
55	0.6104237183
56	0.6098217
57	0.6091973145
58	0.6085731079
59	0.6079588175
60	0.6073592082
61	0.6068258179
62	0.6061978353
63	0.6055296143
64	0.6049316813
65	0.6043393066
66	0.603751652
67	0.6032212606
68	0.60246875
69	0.6019670451
70	0.6014063354
71	0.600869279
72	0.6003501668
73	0.5998251506
74	0.5992798462
75	0.5987787028
76	0.5982531006
77	0.5977371704
78	0.5972921549
79	0.5968475545
80	0.5963688599
81	0.595848116
82	0.5953040365
83	0.5949189575
84	0.5944967855
85	0.5940134277
86	0.5934831706
87	0.5930010539
88	0.5925281047
89	0.592111617
90	0.5916779175
91	0.5912603841
92	0.5908841553
93	0.590408016
94	0.5899559082
95	0.5894850464
96	0.5889615275
97	0.58854788
98	0.5881065796
99	0.5876548055
100	0.5872262858
101	0.5868321777
102	0.5864506104
103	0.5860026733
104	0.5855998698
105	0.5852177287
106	0.5848373372
107	0.5844312907
108	0.5841034871
109	0.5837939087
110	0.5834098836
111	0.5830243612
112	0.5826674438
113	0.5823103638
114	0.5819760824
115	0.5816275472
116	0.5813279622
117	0.5809890706
118	0.5806497599
119	0.5802800334
120	0.5799314738
121	0.5795466634
122	0.5791447021
123	0.5788495443
124	0.5784878215
125	0.5781285889
126	0.5778240031
127	0.5775423869
128	0.5772065023
129	0.5768966634
130	0.5766063477
131	0.5762824056
132	0.5759156535
133	0.575609375
134	0.5753548381
135	0.5750610799
136	0.5747884603
137	0.5744979329
138	0.574241748
139	0.573931425
140	0.57360861
141	0.5732448161
142	0.5729993612
143	0.5727467733
144	0.5724933838
145	0.5722189087
146	0.5719403768
147	0.5716604655
148	0.5714055583
149	0.5711430583
150	0.5708776001
151	0.5706254964
152	0.5703619792
153	0.5700467244
154	0.5697972616
155	0.5695220907
156	0.5692760701
157	0.5689751058
158	0.5687514648
159	0.5684602376
160	0.5682049845
161	0.567939327
162	0.567686202
163	0.5673844035
164	0.5671179972
165	0.5668735433
166	0.566546464
167	0.5662809733
168	0.5660337158
169	0.5657547119
170	0.565479952
171	0.5652473877
172	0.5649973918
173	0.5646843953
174	0.5644759847
175	0.5642387817
176	0.5640001506
177	0.5637578857
178	0.5635365804
179	0.5633084391
180	0.5630297526
181	0.5627474813
182	0.5624981934
183	0.5621804443
184	0.5619585205
185	0.5617632406
186	0.5615386963
187	0.5613203166
188	0.5610873983
189	0.5608649089
190	0.5606367391
191	0.5604100911
192	0.5601378581
193	0.5599136475
194	0.5595592448
195	0.5592900635
196	0.5590133545
197	0.5587249715
198	0.5585143677
199	0.5582634155
200	0.5579860718
201	0.5577690918
202	0.557514681
203	0.5572913696
204	0.5570463379
205	0.5568146037
206	0.5565694051
207	0.5562477824
208	0.5560346598
209	0.5558213704
210	0.5556259237
211	0.5554266927
212	0.5551854655
213	0.5549743896
214	0.5547289388
215	0.5544986694
216	0.5542890828
217	0.5540959106
218	0.5538986776
219	0.5536570109
220	0.5534142049
221	0.5531409831
222	0.5528998535
223	0.5525547689
224	0.5523302979
225	0.5521088013
226	0.5519037435
227	0.5516971883
228	0.5514960124
229	0.5512591553
230	0.5510562052
231	0.5508462891
232	0.5506362834
233	0.5504481771
234	0.5502258057
235	0.5500409139
236	0.5498134644
237	0.5496093831
238	0.5494289998
239	0.5492375163
240	0.5490411702
241	0.5487923584
242	0.5485841756
243	0.5483822632
244	0.5480943359
245	0.5478922485
246	0.5476805339
247	0.547476298
248	0.5472682617
249	0.5470749674
250	0.5468807414
251	0.5466957642
252	0.5464893677
253	0.5462956095
254	0.5460702148
255	0.5458764893
256	0.5456973267
257	0.5454470622
258	0.5452189006
259	0.5450251017
260	0.5448353556
261	0.5446581909
262	0.5444946696
263	0.5442716878
264	0.5440689168
265	0.5438607585
266	0.5436945028
267	0.543523763
268	0.5433257365
269	0.5431548665
270	0.542977653
271	0.5427964396
272	0.542627714
273	0.5424439575
274	0.5422858236
275	0.5421129395
276	0.5419350911
277	0.5417591512
278	0.5415576742
279	0.5413803426
280	0.5412003377
281	0.5410296183
282	0.5408655843
283	0.5406728434
284	0.5404644857
285	0.5402971802
286	0.5401060547
287	0.5399366618
288	0.5397841553
289	0.5396106486
290	0.5394267008
291	0.5392593465
292	0.5390705688
293	0.5389068319
294	0.5387171021
295	0.5385457153
296	0.5383521118
297	0.5381632975
298	0.5379581258
299	0.537782841
300	0.5376171305
301	0.5374607178
302	0.5373176432
303	0.5371670573
304	0.5369742147
305	0.5368276937
306	0.536642391
307	0.5365105509
308	0.5363694661
309	0.536199707
310	0.5360384928
311	0.5358607788
312	0.5357164754
313	0.5355676961
314	0.5354102987
315	0.5352643799
316	0.5351287231
317	0.5349711019
318	0.5347969523
319	0.5346445801
320	0.5344960409
321	0.5343306641
322	0.5341763021
323	0.5340301351
324	0.5338934611
325	0.5337535278
326	0.5335693888
327	0.5333811442
328	0.5331933757
329	0.5330202637
330	0.5328789022
331	0.5326991536
332	0.5325053914
333	0.5323602702
334	0.5322226807
335	0.5320888062
336	0.5318836222
337	0.5317490885
338	0.5315972168
339	0.5314492635
340	0.5312782227
341	0.5311032104
342	0.5309784098
343	0.5308496419
344	0.5306960246
345	0.5305466553
346	0.5303972168
347	0.5302593221
348	0.5301291463
349	0.5299667725
350	0.5298334391
351	0.5296857503
352	0.529538562
353	0.5294078817
354	0.5292608561
355	0.529136731
356	0.5289810588
357	0.5288372762
358	0.5286934285
359	0.5285575602
360	0.5284153402
361	0.528258549
362	0.5281131185
363	0.5279857992
364	0.527843986
365	0.5277093018
366	0.5275533691
367	0.5274246663
368	0.5272797038
369	0.5271276123
370	0.5269475505
371	0.5268092489
372	0.5266829346
373	0.5265570557
374	0.5264205241
375	0.5262904175
376	0.5261516886
377	0.5260239461
378	0.5258432576
379	0.5257035034
380	0.5255524211
381	0.5253598185
382	0.5252055176
383	0.5250412923
384	0.5249094035
385	0.52476639
386	0.5246516276
387	0.5245250732
388	0.5243779419
389	0.5242518473
390	0.5241299154
391	0.5239966309
392	0.5238743449
393	0.5237660116
394	0.5236336833
395	0.5235019653
396	0.523366748
397	0.5232113241
398	0.5230983805
399	0.522981901
400	0.5228539103
401	0.5227316895
402	0.5226252401
403	0.5224988322
404	0.5223569051
405	0.5222203939
406	0.522113387
407	0.5219935099
408	0.5218869792
409	0.5217821167
410	0.5216632121
411	0.5215346476
412	0.5213895589
413	0.5212567993
414	0.5211458333
415	0.5210027791
416	0.5208657552
417	0.5207516357
418	0.5206327555
419	0.5205010417
420	0.5203699422
421	0.5202471191
422	0.5201304036
423	0.5200092692
424	0.5198992676
425	0.5197787354
426	0.5196652059
427	0.5195622965
428	0.5194572184
429	0.5193284668
430	0.5191793376
431	0.5190680623
432	0.5189411418
433	0.5188242187
434	0.5187198975
435	0.5186027059
436	0.5184808879
437	0.5183732707
438	0.5182192057
439	0.5181003988
440	0.5179916667
441	0.5178775391
442	0.5177405396
443	0.5176156331
444	0.5175117106
445	0.5174019084
446	0.5172887044
447	0.5171854696
448	0.5170719401
449	0.516974113
450	0.5168580851
451	0.51675059
452	0.5166428833
453	0.5165010213
454	0.5163893351
455	0.5163037923
456	0.5162022257
457	0.5160832316
458	0.5159674276
459	0.5158677938
460	0.5157560465
461	0.5156578613
462	0.515555603
463	0.5154464071
464	0.5153427124
465	0.5151844767
466	0.5150747111
467	0.5149363525
468	0.5148435588
469	0.5147272868
470	0.5145866211
471	0.5144843791
472	0.5143828532
473	0.5142853597
474	0.5141720215
475	0.5140610921
476	0.5139650798
477	0.5138504354
478	0.5137355713
479	0.5136340251
480	0.5135217204
481	0.5134001221
482	0.5132913859
483	0.5131459106
484	0.5130601074
485	0.5129584391
486	0.5128437337
487	0.5127413452
488	0.512651652
489	0.5125511963
490	0.5124563436
491	0.5123299683
492	0.5122490438
493	0.5121484538
494	0.5120068522
495	0.5118969645
496	0.511777006
497	0.5116757935
498	0.5115864827
499	0.5114874268
500	0.5113922323
501	0.5112942586
502	0.5111667358
503	0.5110720296
504	0.5109403687
505	0.5108307414
506	0.5107303955
507	0.5106438599
508	0.5105291911
509	0.510411438
510	0.5103143066
511	0.5101996704
512	0.5101024414
513	0.5100038574
514	0.5099145508
515	0.5098106405
516	0.5097095988
517	0.5095997884
518	0.5095012492
519	0.509387679
520	0.5092812012
521	0.5092033773
522	0.5090999023
523	0.5090108561
524	0.508910673
525	0.508813387
526	0.5086830322
527	0.5085411418
528	0.5084588135
529	0.5083739461
530	0.5082681315
531	0.508156075
532	0.508050472
533	0.5079575928
534	0.5078572428
535	0.5077517293
536	0.507657784
537	0.5075580322
538	0.5074652629
539	0.5073627645
540	0.5072747437
541	0.50718066
542	0.5070715007
543	0.5069708211
544	0.5068518473
545	0.5067241536
546	0.5066081909
547	0.506514856
548	0.5064180908
549	0.5063266805
550	0.5062394979
551	0.5061386841
552	0.5060455973
553	0.5059557088
554	0.5058665405
555	0.5057773478
556	0.5056844116
557	0.5055849243
558	0.5054757039
559	0.5053803385
560	0.5052760213
561	0.505191569
562	0.5050981934
563	0.5049954346
564	0.5048909953
565	0.5048086019
566	0.5047164795
567	0.5046058919
568	0.5045170451
569	0.5043875203
570	0.5042860881
571	0.5042050578
572	0.5041147664
573	0.5040413818
574	0.5039394735
575	0.5038506755
576	0.5037502808
577	0.50366698
578	0.5035480103
579	0.5034394043
580	0.5033578654
581	0.5032700155
582	0.5031886108
583	0.5031076619
584	0.5030198649
585	0.5029546956
586	0.5028746053
587	0.5027604167
588	0.5026777751
589	0.5025972453
590	0.5025178833
591	0.5024180298
592	0.5022923625
593	0.5021972819
594	0.5021074951
595	0.5020191772
596	0.501918217
597	0.5018233846
598	0.5016942098
599	0.5016134969
600	0.5015194417
601	0.5014008545
602	0.5013156291
603	0.5012000529
604	0.5011266398
605	0.501044637
606	0.5009739909
607	0.500881311
608	0.5007804281
609	0.500700297
610	0.5006261312
611	0.5005444051
612	0.5004527913
613	0.5003701619
614	0.500298409
615	0.5002058187
616	0.5001063273
617	0.5000203654
618	0.4999313802
619	0.4998630127
620	0.499786967
621	0.4996963989
622	0.4996109131
623	0.4995256795
624	0.499437321
625	0.4993417277
626	0.4992494263
627	0.4991443888
628	0.4990424316
629	0.4989622355
630	0.4988772095
631	0.4987916097
632	0.4986779093
633	0.4985847534
634	0.498507137
635	0.4984081868
636	0.4983224325
637	0.4982579386
638	0.498177299
639	0.498080485
640	0.4980004028
641	0.4979064006
642	0.4978053263
643	0.4977302043
644	0.4976528809
645	0.4975652425
646	0.4974587321
647	0.4973639119
648	0.4972879354
649	0.4972077026
650	0.4971219523
651	0.4970524455
652	0.4969695679
653	0.4968886922
654	0.4967704875
655	0.4966840861
656	0.4965923991
657	0.4965184896
658	0.4964431641
659	0.496372937
660	0.4962862427
661	0.4961854818
662	0.4961086263
663	0.4960368937
664	0.4959078003
665	0.4958282145
666	0.4957344686
667	0.4956322713
668	0.4955576986
669	0.4954619344
670	0.4953787354
671	0.4953077962
672	0.4952202433
673	0.4951362183
674	0.4950483236
675	0.4949407349
676	0.4948276164
677	0.4947326701
678	0.4946348551
679	0.4945615438
680	0.4944921956
681	0.4944197998
682	0.4943529867
683	0.4942608805
684	0.4941711182
685	0.4940870483
686	0.4940131877
687	0.4939423543
688	0.493875529
689	0.4938080119
690	0.4937341268
691	0.4936491821
692	0.4935631063
693	0.4934884277
694	0.4934050781
695	0.4933335449
696	0.4932680257
697	0.493156958
698	0.4930798503
699	0.493012264
700	0.4929225627
701	0.4928547648
702	0.4927679403
703	0.4926976685
704	0.492616036
705	0.492539978
706	0.4924685872
707	0.4923760417
708	0.4923054321
709	0.4922261841
710	0.4921469767
711	0.492063151
712	0.4919870402
713	0.4919249023
714	0.4918521322
715	0.4917659709
716	0.4916700399
717	0.4916038818
718	0.4915257935
719	0.4914421021
720	0.491359257
721	0.4912835938
722	0.4912121663
723	0.4911265544
724	0.4910556478
725	0.4909854899
726	0.4908946737
727	0.4908148397
728	0.4907569173
729	0.4906466187
730	0.4905740072
731	0.4904744548
732	0.4904115234
733	0.4903440715
734	0.4902840129
735	0.4902085612
736	0.4901319092
737	0.4900495809
738	0.489978597
739	0.4899031413
740	0.4898325358
741	0.4897555827
742	0.489679008
743	0.4896136271
744	0.4895614095
745	0.489479659
746	0.489401591
